"ID","yield","kgw","grain","tiller"
"R001",0.153120086158396,-0.0687537892945565,-0.0424712325978092,0.560425463626208
"R002",-1.64291123858584,-0.40197206184173,-1.95931512464002,1.73240110603583
"R003",-1.0262359261341,-0.153301709194586,-1.31863088898461,1.12548514835942
"R004",0.241784923709061,-0.854552103659531,1.41860135359198,-0.841759679971015
"R005",0.0354686671007823,0.685214719931583,-0.565957132462598,0.413928508325006
"R006",0.0331952097276888,-1.10819586335962,0.348189886704272,0.434856644796607
"R007",0.00193517084764683,0.411677332019725,-0.403181666086731,0.204647143609002
"R008",1.38192379631569,0.311214509550278,0.382047183710453,0.937131920115015
"R009",1.20175229949799,0.508161428846817,1.23759503498201,-0.904544089385817
"R010",0.503800885958141,1.72664615681782,-0.602418836930793,0.455784781268206
"R012",1.2165297724231,2.19215705697327,-0.52689102053239,0.518569190683008
"R013",-0.242461496759956,-0.118487859823985,0.171090179287329,-0.862687816442616
"R014",-0.933024173837249,0.860278648195172,-1.05688793905221,-0.590622042311812
"R015",0.679993832372924,-0.402966743252319,2.59970013761527,-2.22301668709664
"R016",1.79171448781588,0.445496499979736,-0.00470732439860754,1.71147296956423
"R017",1.10172017508186,0.375868801238536,-0.0476800475218367,1.06270073894462
"R018",0.412294226691109,0.486278437813868,-0.112790234072184,-0.0883467669934023
"R019",0.360004707109947,0.613597658369206,-0.0437734363288157,-0.46505322348221
"R020",0.801623801833451,0.655374277613925,0.146348308398197,0.162790870665801
"R021",1.91959646505241,0.67327854300452,1.36390879688968,-0.234843722294605
"R022",-2.73758096373059,-0.246801761789912,-1.28477359197843,-2.62065128005705
"R023",-0.465260319323165,-1.60155784301155,-0.270356885524023,1.29291024013222
"R025",0.114471310815798,-2.14166984896115,1.20243553424482,0.288359689495404
"R027",0.273613326932376,-0.355222035544067,1.84963078855527,-1.97187904943743
"R028",-0.965989305747112,0.103326094737266,-0.965733677881729,0.162790870665801
"R029",0.512894715450517,0.397751792271485,-0.321142831033294,0.832491237757013
"R030",0.405473854571827,1.33971508809887,-0.414901499665793,0.0372220518361987
"R031",-0.3765954817725,0.731964746229246,-1.16106423753277,1.23012583071742
"R032",-1.19276667871324,-0.730216927335959,-0.890205861483326,0.162790870665801
"R033",1.22448687322893,0.262475120431439,0.794845766439653,-0.0255623575786018
"R034",0.956787267547115,0.177927200531409,0.92376393580934,-0.444125087010609
"R036",0.789119786281434,-1.179812924922,0.500547723232085,1.58590415073463
